CURRENCY_DATE;CURRENCY_YEAR;VOLUME;CLOSE_USD;CLOSE_EUR;CLOSE_CLP;CLOSE_BRL;RANK_VOLUME_BY_DAY;SUM_VOLUME_BY_YEAR;SUM_VOLUME_BY_YEAR_MONTH;SUM_VOLUME_BY_MONTH_IN_YEAR;AVG_VOLUME_BY_YEAR;AVG_VOLUME_BY_YEAR_MONTH;RANK_VOLUME_BY_YEAR;RANK_VOLUME_BY_YEAR_MONTH;RANK_VOLUME_BY_MONTH_IN_YEAR
2020-01-21;2020;32011;111.05;100.17931549999999;86052.56981915;467.7870199999999;64;3078378;480131;480131;12167.501;22863.38;3;3;1
2020-01-29;2020;32681;102.05;92.65109294999999;80904.20429455;431.7121159;59;3078378;480131;480131;12167.501;22863.38;3;3;1
2020-01-17;2020;17839;112.15;101.12172975000001;86804.14048615;466.7575336;360;3078378;480131;480131;12167.501;22863.38;3;3;1
2020-01-13;2020;22280;114.55;102.870482;88764.94998615;475.0727568;240;3078378;480131;480131;12167.501;22863.38;3;3;1
2020-01-22;2020;18581;111.0;100.03597500000001;85625.01039;464.290578;342;3078378;480131;480131;12167.501;22863.38;3;3;1
2020-01-14;2020;18618;114.9;103.2495996;88449.47583360001;474.8704398;338;3078378;480131;480131;12167.501;22863.38;3;3;1
2020-01-02;2020;21506;127.1;113.7780135;95299.75196629998;511.5644087;261;3078378;480131;480131;12167.501;22863.38;3;3;1
2020-01-03;2020;16566;126.35;113.21680194999999;96569.79928119999;513.8406854;401;3078378;480131;480131;12167.501;22863.38;3;3;1
2020-01-16;2020;16708;112.95;101.4180309;87773.07057075;472.7074968;396;3078378;480131;480131;12167.501;22863.38;3;3;1
2020-01-27;2020;25500;106.6;96.738967;84022.0942028;448.5406067999999;164;3078378;480131;480131;12167.501;22863.38;3;3;1
2020-01-15;2020;24677;114.3;102.488238;88616.9919681;477.2827386;182;3078378;480131;480131;12167.501;22863.38;3;3;1
2020-01-09;2020;24637;117.35;105.63811795;90160.3176204;480.3844294;183;3078378;480131;480131;12167.501;22863.38;3;3;1
2020-01-30;2020;24626;101.5;92.03208;80925.1001405;430.73565149999996;184;3078378;480131;480131;12167.501;22863.38;3;3;1
2020-01-31;2020;23166;102.65;92.51834235;82151.1965668;439.59903560000004;214;3078378;480131;480131;12167.501;22863.38;3;3;1
2020-01-07;2020;21308;122.4;109.73466;94254.27740640001;497.88635760000005;268;3078378;480131;480131;12167.501;22863.38;3;3;1
2020-01-10;2020;21165;118.95;106.9722108;92043.9753324;487.19588580000004;272;3078378;480131;480131;12167.501;22863.38;3;3;1
2020-01-06;2020;24428;122.15;109.09656240000001;94580.3455695;496.16084070000005;189;3078378;480131;480131;12167.501;22863.38;3;3;1
2020-01-28;2020;23885;105.05;95.30766299999999;82544.11079584999;440.67435005;203;3078378;480131;480131;12167.501;22863.38;3;3;1
2020-01-24;2020;23990;110.15;99.9093545;85620.0259068;460.5816506;199;3078378;480131;480131;12167.501;22863.38;3;3;1
2020-01-23;2020;22898;112.6;101.855708;87490.23152799999;469.6092222;222;3078378;480131;480131;12167.501;22863.38;3;3;1
2020-01-08;2020;23061;119.15;107.21891475000001;90315.73050240001;484.2730217;218;3078378;480131;480131;12167.501;22863.38;3;3;1
2020-10-09;2020;15764;111.55;94.29979644999999;88649.22138359999;616.9274981;422;3078378;388627;388627;12167.501;17664.863;3;9;2
2020-10-22;2020;22411;106.7;90.3114135;83097.2793607;596.7517600000001;235;3078378;388627;388627;12167.501;17664.863;3;9;2
2020-10-08;2020;18260;110.25;93.70621575;88045.11639;617.41113525;350;3078378;388627;388627;12167.501;17664.863;3;9;2
2020-10-19;2020;16873;106.05;90.12160815;83525.3541444;594.63263685;386;3078378;388627;388627;12167.501;17664.863;3;9;2
2020-10-23;2020;11995;105.6;89.0365344;81914.33310719999;593.3929056;510;3078378;388627;388627;12167.501;17664.863;3;9;2
2020-10-15;2020;22363;109.5;93.5354475;88049.1772125;614.5905405;238;3078378;388627;388627;12167.501;17664.863;3;9;2
2020-10-14;2020;14046;109.6;93.32713999999999;87549.2215536;612.882104;478;3078378;388627;388627;12167.501;17664.863;3;9;2
2020-10-21;2020;15757;104.15;87.87166745;81549.45114565;584.20890745;423;3078378;388627;388627;12167.501;17664.863;3;9;2
2020-10-05;2020;19938;107.2;90.91610560000001;85621.3653152;597.6346400000001;298;3078378;388627;388627;12167.501;17664.863;3;9;2
2020-10-07;2020;20419;109.6;93.1289832;87087.9622816;615.162332;286;3078378;388627;388627;12167.501;17664.863;3;9;2
2020-10-20;2020;17967;104.9;88.6766905;82451.36276050001;588.0377202000001;358;3078378;388627;388627;12167.501;17664.863;3;9;2
2020-10-01;2020;27641;107.05;91.14825775;84258.8488217;604.1364609;124;3078378;388627;388627;12167.501;17664.863;3;9;2
2020-10-30;2020;18949;104.4;89.4190176;80732.9284128;599.5591776000001;326;3078378;388627;388627;12167.501;17664.863;3;9;2
2020-10-27;2020;16380;106.95;90.77327775;82672.3132092;610.27809;405;3078378;388627;388627;12167.501;17664.863;3;9;2
2020-10-13;2020;14789;110.1;93.7672155;87959.1942063;613.2454395;453;3078378;388627;388627;12167.501;17664.863;3;9;2
2020-10-29;2020;16287;104.6;89.5790216;80751.21433019999;604.5149892000001;406;3078378;388627;388627;12167.501;17664.863;3;9;2
2020-10-06;2020;15255;107.65;91.71618525000001;85980.9472032;602.3343679500001;440;3078378;388627;388627;12167.501;17664.863;3;9;2
2020-10-28;2020;15333;105.0;89.37232499999999;81227.92345500001;603.37179;436;3078378;388627;388627;12167.501;17664.863;3;9;2
2020-10-16;2020;14716;107.25;91.54935075;85103.294562;605.78929125;455;3078378;388627;388627;12167.501;17664.863;3;9;2
2020-10-26;2020;14411;106.65;90.300555;82685.9614995;599.8100517;467;3078378;388627;388627;12167.501;17664.863;3;9;2
2020-10-12;2020;15910;109.15;92.38445085000001;86992.5166001;603.73037085;417;3078378;388627;388627;12167.501;17664.863;3;9;2
2020-10-02;2020;23163;108.95;92.98653705;86027.3462124;619.1741808;215;3078378;388627;388627;12167.501;17664.863;3;9;2
2020-02-10;2020;45770;100.3;91.9247494;79658.1322178;433.7614923;12;3078378;338351;338351;12167.501;17807.947;3;16;3
2020-02-06;2020;34189;98.15;89.38530315;76929.4024967;420.30774500000007;52;3078378;338351;338351;12167.501;17807.947;3;16;3
2020-02-05;2020;29230;97.75;88.86423175;75922.1690905;413.990409;105;3078378;338351;338351;12167.501;17807.947;3;16;3
2020-02-20;2020;721;103.6;96.0348172;83684.890674;455.19767999999993;573;3078378;338351;338351;12167.501;17807.947;3;16;3
2020-02-04;2020;29518;98.15;88.86481370000001;76724.57807105;417.64797815;100;3078378;338351;338351;12167.501;17807.947;3;16;3
2020-02-28;2020;110;110.1;99.8423133;90051.22071119999;492.4832454;602;3078378;338351;338351;12167.501;17807.947;3;16;3
2020-02-25;2020;104;107.1;98.43293249999999;87029.9028585;469.98671579999996;603;3078378;338351;338351;12167.501;17807.947;3;16;3
2020-02-13;2020;28558;104.45;96.32389445000001;82943.37305355;454.40523364999996;114;3078378;338351;338351;12167.501;17807.947;3;16;3
2020-02-11;2020;36364;100.5;92.0414175;79576.3215975;435.309921;37;3078378;338351;338351;12167.501;17807.947;3;16;3
2020-02-12;2020;36213;100.65;92.54717175;79665.06068235;438.42787725000005;38;3078378;338351;338351;12167.501;17807.947;3;16;3
2020-02-19;2020;17063;106.8;98.7973692;85140.6468624;466.2350796;380;3078378;338351;338351;12167.501;17807.947;3;16;3
2020-02-14;2020;9664;109.1;100.7308299;86407.2393851;468.86859639999994;541;3078378;338351;338351;12167.501;17807.947;3;16;3
2020-02-27;2020;412;108.2;98.39167;88128.7792488;485.4175518;576;3078378;338351;338351;12167.501;17807.947;3;16;3
2020-02-24;2020;878;105.9;97.6131132;85619.94158880001;464.6991546;572;3078378;338351;338351;12167.501;17807.947;3;16;3
2020-02-07;2020;23661;98.35;89.8543303;77913.25474519999;424.9314034;208;3078378;338351;338351;12167.501;17807.947;3;16;3
2020-02-03;2020;31237;97.9;88.496705;77095.82609300001;415.90847210000004;73;3078378;338351;338351;12167.501;17807.947;3;16;3
2020-02-18;2020;14616;106.55;98.70419075;84961.2398411;464.16419119999995;456;3078378;338351;338351;12167.501;17807.947;3;16;3
2020-02-26;2020;17;109.1;100.2274425;88643.91866859999;485.5604599999999;658;3078378;338351;338351;12167.501;17807.947;3;16;3
2020-02-21;2020;26;108.85;100.3499035;87494.05582119999;477.8083954;649;3078378;338351;338351;12167.501;17807.947;3;16;3
2020-08-12;2020;22667;112.05;95.00797935;88777.3041918;609.1599370499999;229;3078378;293812;293812;12167.501;13991.047;3;21;4
2020-08-03;2020;28190;117.9;100.2386979;89333.0880831;627.2509905000001;120;3078378;293812;293812;12167.501;13991.047;3;21;4
2020-08-24;2020;119;120.25;101.95696875;94516.47679175;674.85490475;598;3078378;293812;293812;12167.501;13991.047;3;21;4
2020-08-21;2020;245;120.1;101.8184981;95251.7798312;674.9710074999999;584;3078378;293812;293812;12167.501;13991.047;3;21;4
2020-08-27;2020;13;122.95;104.02492125;96441.87364825;684.8558441;662;3078378;293812;293812;12167.501;13991.047;3;21;4
2020-08-07;2020;29392;115.45;97.9623267;91067.4116404;627.73917125;104;3078378;293812;293812;12167.501;13991.047;3;21;4
2020-08-06;2020;28501;117.0;98.525817;90499.32344699999;623.937132;116;3078378;293812;293812;12167.501;13991.047;3;21;4
2020-08-14;2020;15520;114.7;96.854974;91485.1687064;621.9352866;430;3078378;293812;293812;12167.501;13991.047;3;21;4
2020-08-26;2020;72;122.8;103.7046;96347.13525759999;688.7487284;614;3078378;293812;293812;12167.501;13991.047;3;21;4
2020-08-31;2020;56;129.8;108.72242700000001;100769.07958260001;712.9131306000002;622;3078378;293812;293812;12167.501;13991.047;3;21;4
2020-08-17;2020;6996;115.55;97.3044239;93330.14543359999;636.65750555;564;3078378;293812;293812;12167.501;13991.047;3;21;4
2020-08-11;2020;28553;111.35;94.87743774999998;88466.01799294999;599.2738969;115;3078378;293812;293812;12167.501;13991.047;3;21;4
2020-08-10;2020;22719;112.6;95.932385;90755.593244;617.275452;226;3078378;293812;293812;12167.501;13991.047;3;21;4
2020-08-05;2020;36843;121.55;102.37974175;94492.8990148;643.29122;34;3078378;293812;293812;12167.501;13991.047;3;21;4
2020-08-25;2020;55;123.2;104.10092;96970.63659360001;678.695864;623;3078378;293812;293812;12167.501;13991.047;3;21;4
2020-08-19;2020;9248;118.45;100.0134944;92910.49706240001;658.33384725;547;3078378;293812;293812;12167.501;13991.047;3;21;4
2020-08-18;2020;7201;119.3;99.8535035;94808.1584487;652.2015279;561;3078378;293812;293812;12167.501;13991.047;3;21;4
2020-08-20;2020;7088;118.55;99.8605925;93227.49937845;658.82941435;562;3078378;293812;293812;12167.501;13991.047;3;21;4
2020-08-28;2020;54;127.1;106.76145799999999;99074.9472152;685.253295;624;3078378;293812;293812;12167.501;13991.047;3;21;4
2020-08-13;2020;20874;116.2;98.33947900000001;92205.0144372;623.8199324000001;281;3078378;293812;293812;12167.501;13991.047;3;21;4
2020-08-04;2020;29406;121.05;102.45369375;93414.9948372;640.5600429;103;3078378;293812;293812;12167.501;13991.047;3;21;4
2020-06-16;2020;11584;93.65;83.13123200000001;73449.4674305;491.20398960000006;517;3078378;290449;290449;12167.501;13202.227;3;23;5
2020-06-17;2020;12234;96.25;85.61245000000001;77153.80721125;503.32975;507;3078378;290449;290449;12167.501;13202.227;3;23;5
2020-06-04;2020;13953;98.15;86.57821315000001;75663.71123285001;502.40050315;479;3078378;290449;290449;12167.501;13202.227;3;23;5
2020-06-02;2020;17761;98.2;87.77607;76331.0891988;510.718069;361;3078378;290449;290449;12167.501;13202.227;3;23;5
2020-06-15;2020;22016;94.0;82.91129000000001;73630.370704;484.675656;247;3078378;290449;290449;12167.501;13202.227;3;23;5
2020-06-22;2020;266;95.95;85.067351;78650.5625309;504.06344214999996;583;3078378;290449;290449;12167.501;13202.227;3;23;5
2020-06-03;2020;16879;99.1;88.20881089999999;77863.39899579999;501.75321;384;3078378;290449;290449;12167.501;13202.227;3;23;5
2020-06-11;2020;27278;96.0;85.04784000000001;76109.0784;477.744096;132;3078378;290449;290449;12167.501;13202.227;3;23;5
2020-06-12;2020;18281;95.2;84.56844480000001;75417.81242239999;480.69374080000006;348;3078378;290449;290449;12167.501;13202.227;3;23;5
2020-06-01;2020;26971;98.3;88.354989;77933.490376;527.6744;138;3078378;290449;290449;12167.501;13202.227;3;23;5
2020-06-08;2020;26561;98.9;87.48150050000001;75916.9248099;477.00419439999996;144;3078378;290449;290449;12167.501;13202.227;3;23;5
2020-06-26;2020;19;95.65;85.26059265;78576.84918280001;524.07027165;656;3078378;290449;290449;12167.501;13202.227;3;23;5
2020-06-10;2020;24680;96.75;85.12887375;74835.98471250001;481.205475;181;3078378;290449;290449;12167.501;13202.227;3;23;5
2020-06-29;2020;16;98.65;87.71366100000002;81040.7191019;533.0653373;659;3078378;290449;290449;12167.501;13202.227;3;23;5
2020-06-25;2020;45;94.85;84.53003545;76742.49969469999;508.49056545;630;3078378;290449;290449;12167.501;13202.227;3;23;5
2020-06-30;2020;7;100.05;89.05430489999999;82321.4065332;546.5932600499999;668;3078378;290449;290449;12167.501;13202.227;3;23;5
2020-06-23;2020;30;96.25;85.08644375;78847.821745;495.93784624999995;645;3078378;290449;290449;12167.501;13202.227;3;23;5
2020-06-24;2020;34;96.65;85.9073525;79166.00978090001;516.8935750500001;641;3078378;290449;290449;12167.501;13202.227;3;23;5
2020-06-09;2020;22764;97.8;86.305077;75295.931979;479.21021999999994;225;3078378;290449;290449;12167.501;13202.227;3;23;5
2020-06-05;2020;16818;98.9;87.5922685;75819.2165549;491.08082920000004;388;3078378;290449;290449;12167.501;13202.227;3;23;5
2020-06-18;2020;16437;94.6;84.39265999999999;77335.4551596;508.82464159999995;404;3078378;290449;290449;12167.501;13202.227;3;23;5
